generation,currentPopulationBestCost,currentPopulationBestVehicleCount,currentPopulationAverageCost,BSFcost,BSFvehicleCount
556,3569.0,5,3608.12,3561.0,5
557,3569.0,5,3607.99,3561.0,5
558,3569.0,5,3606.56,3561.0,5
559,3569.0,5,3606.14,3561.0,5
560,3569.0,5,3605.3,3561.0,5
561,3569.0,5,3604.15,3561.0,5
562,3569.0,5,3603.96,3561.0,5
563,3569.0,5,3603.87,3561.0,5
564,3569.0,5,3603.25,3561.0,5
565,3569.0,5,3601.68,3561.0,5
566,3569.0,5,3601.6,3561.0,5
567,3569.0,5,3601.43,3561.0,5
568,3569.0,5,3601.04,3561.0,5
569,3569.0,5,3600.55,3561.0,5
570,3569.0,5,3600.3,3561.0,5
571,3569.0,5,3599.79,3561.0,5
572,3569.0,5,3599.25,3561.0,5
573,3569.0,5,3599.12,3561.0,5
574,3569.0,5,3598.59,3561.0,5
575,3569.0,5,3598.45,3561.0,5
576,3569.0,5,3598.09,3561.0,5
577,3569.0,5,3596.72,3561.0,5
578,3569.0,5,3596.38,3561.0,5
579,3569.0,5,3595.94,3561.0,5
580,3569.0,5,3595.25,3561.0,5
581,3569.0,5,3595.23,3561.0,5
582,3569.0,5,3594.78,3561.0,5
583,3569.0,5,3594.66,3561.0,5
584,3569.0,5,3594.19,3561.0,5
585,3569.0,5,3593.46,3561.0,5
586,3569.0,5,3593.46,3561.0,5
587,3569.0,5,3593.34,3561.0,5
588,3569.0,5,3593.14,3561.0,5
589,3569.0,5,3592.85,3561.0,5
590,3569.0,5,3592.4,3561.0,5
591,3569.0,5,3592.28,3561.0,5
592,3569.0,5,3592.07,3561.0,5
593,3569.0,5,3592.07,3561.0,5
594,3569.0,5,3592.07,3561.0,5
595,3569.0,5,3591.74,3561.0,5
596,3569.0,5,3591.54,3561.0,5
597,3569.0,5,3591.2,3561.0,5
598,3569.0,5,3591.12,3561.0,5
599,3569.0,5,3591.0,3561.0,5
600,3569.0,5,3591.0,3561.0,5
601,4008.0,5,4506.51,3561.0,5
602,3855.0,5,4375.87,3561.0,5
603,3855.0,5,4335.55,3561.0,5
604,3827.0,5,4327.51,3561.0,5
605,3827.0,5,4349.14,3561.0,5
606,3805.0,5,4382.99,3561.0,5
607,3805.0,5,4344.5,3561.0,5
608,3805.0,5,4219.19,3561.0,5
609,3781.0,5,4163.95,3561.0,5
610,3781.0,5,4132.4,3561.0,5
611,3681.0,5,4110.26,3561.0,5
612,3681.0,5,4089.49,3561.0,5
613,3681.0,5,4076.47,3561.0,5
614,3681.0,5,4057.7,3561.0,5
615,3681.0,5,4042.6,3561.0,5
616,3681.0,5,4032.44,3561.0,5
617,3649.0,5,4009.16,3561.0,5
618,3649.0,5,4002.89,3561.0,5
619,3649.0,5,3973.22,3561.0,5
620,3641.0,5,3953.38,3561.0,5
621,3641.0,5,3938.91,3561.0,5
622,3565.0,5,3925.12,3561.0,5
623,3565.0,5,3914.81,3561.0,5
624,3565.0,5,3905.32,3561.0,5
625,3565.0,5,3895.1,3561.0,5
626,3565.0,5,3882.6,3561.0,5
627,3565.0,5,3873.74,3561.0,5
628,3565.0,5,3859.0,3561.0,5
629,3565.0,5,3848.75,3561.0,5
630,3565.0,5,3838.41,3561.0,5
631,3565.0,5,3828.48,3561.0,5
632,3565.0,5,3826.14,3561.0,5
633,3565.0,5,3818.24,3561.0,5
634,3565.0,5,3806.82,3561.0,5
635,3565.0,5,3796.11,3561.0,5
636,3565.0,5,3786.09,3561.0,5
637,3565.0,5,3784.48,3561.0,5
638,3565.0,5,3776.23,3561.0,5
639,3565.0,5,3771.71,3561.0,5
640,3565.0,5,3769.04,3561.0,5
641,3548.0,5,3758.82,3548.0,5
642,3548.0,5,3751.1,3548.0,5
643,3548.0,5,3747.8,3548.0,5
644,3548.0,5,3742.44,3548.0,5
645,3548.0,5,3735.48,3548.0,5
646,3548.0,5,3733.91,3548.0,5
